a_node_id,b_node_id,distance,a_node_lat,a_node_lon,b_node_lat,b_node_lon
6439804310,1311583643,0.000125,40.378733,49.829229,40.378609,49.829237
1311583643,6439804312,0.000639,40.378609,49.829237,40.377980,49.829355
6439804312,1311517888,0.000626,40.377980,49.829355,40.377371,49.829499
1311517888,1310960155,0.001189,40.377371,49.829499,40.376218,49.829789
277335652,4461042279,0.000600,40.370114,49.829875,40.369628,49.830227
4461042279,277335820,0.001055,40.369628,49.830227,40.369986,49.831219
277335821,277341374,0.001015,40.370738,49.834026,40.370987,49.835009
277341374,277335822,0.000469,40.370987,49.835009,40.371100,49.835464
277335833,277335820,0.001413,40.370338,49.832587,40.369986,49.831219
277336153,277336539,0.000525,40.369288,49.832803,40.369801,49.832694
277336539,277335833,0.000547,40.369801,49.832694,40.370338,49.832587
277336237,4935866956,0.000686,40.374838,49.831244,40.374184,49.831451
4935866956,277362687,0.000577,40.374184,49.831451,40.373630,49.831610
277362687,277361667,0.000521,40.373630,49.831610,40.373129,49.831752
277361667,339114127,0.000500,40.373129,49.831752,40.372645,49.831879
339114127,277360522,0.000469,40.372645,49.831879,40.372200,49.832029
277360522,1856863814,0.000309,40.372200,49.832029,40.371902,49.832109
1856863814,277360285,0.000517,40.371902,49.832109,40.371404,49.832247
277360285,277336534,0.000507,40.371404,49.832247,40.370911,49.832368
277336534,277335833,0.000614,40.370911,49.832368,40.370338,49.832587
277336539,3837820908,0.001204,40.369801,49.832694,40.370093,49.833862
3837820908,277336558,0.000419,40.370093,49.833862,40.370190,49.834270
1868465429,277335822,0.000105,40.371111,49.835569,40.371100,49.835464
277336938,339114133,0.000576,40.375146,49.833348,40.374614,49.833567
339114133,277362685,0.000525,40.374614,49.833567,40.374130,49.833770
277362685,277361669,0.000515,40.374130,49.833770,40.373653,49.833963
277361669,339114130,0.000487,40.373653,49.833963,40.373198,49.834139
339114130,277360526,0.000445,40.373198,49.834139,40.372784,49.834303
277360526,277360334,0.000416,40.372784,49.834303,40.372398,49.834457
277360334,277360287,0.000452,40.372398,49.834457,40.371974,49.834613
277341374,5910234466,0.000046,40.370987,49.835009,40.370944,49.835025
5910234466,277341388,0.000619,40.370944,49.835025,40.370366,49.835246
277341388,3837826099,0.000033,40.370366,49.835246,40.370333,49.835247
3837826099,3837826098,0.000033,40.370333,49.835247,40.370313,49.835221
3837826098,3837826097,0.000080,40.370313,49.835221,40.370291,49.835143
277359644,482983950,0.000585,40.376664,49.840965,40.376107,49.841145
482983950,277359643,0.000452,40.376107,49.841145,40.375682,49.841297
276886949,1657131112,0.000847,40.370567,49.831087,40.370277,49.830291
1657131112,277335652,0.000447,40.370277,49.830291,40.370114,49.829875
277335652,1657131113,0.000636,40.370114,49.829875,40.369877,49.829285
4021864020,4021864022,0.000880,40.375975,49.832303,40.376803,49.832006
276374008,4770739546,0.001211,40.379761,49.847230,40.379435,49.846063
4770739546,1490151990,0.000210,40.379435,49.846063,40.379383,49.845860
1490151990,3880383937,0.001037,40.379383,49.845860,40.379103,49.844861
3880383937,4495113738,0.000317,40.379103,49.844861,40.379017,49.844557
4495113738,482983954,0.000157,40.379017,49.844557,40.378974,49.844406
482983954,276372003,0.002290,40.378974,49.844406,40.378405,49.842188
277358909,276375040,0.000405,40.372852,49.838509,40.373184,49.838277
277359002,277358938,0.000452,40.371236,49.835599,40.371651,49.835422
277359338,277359350,0.000468,40.372041,49.836882,40.371606,49.837054
277359231,277360281,0.000484,40.371798,49.835993,40.372238,49.835792
277360281,277360332,0.000437,40.372238,49.835792,40.372637,49.835613
277360332,277360524,0.000484,40.372637,49.835613,40.373076,49.835411
277360524,339114143,0.000433,40.373076,49.835411,40.373472,49.835235
339114143,277361671,0.000460,40.373472,49.835235,40.373896,49.835057
277361671,277362683,0.000483,40.373896,49.835057,40.374338,49.834862
277362683,3880196142,0.000523,40.374338,49.834862,40.374820,49.834657
277359952,277359772,0.001123,40.374795,49.844570,40.374453,49.843500
277359772,5910484791,0.000068,40.374453,49.843500,40.374436,49.843434
5910484791,1797880835,0.001723,40.374436,49.843434,40.373992,49.841769
1797880835,1797880834,0.000896,40.373992,49.841769,40.373766,49.840903
1797880834,1797880833,0.000819,40.373766,49.840903,40.373570,49.840107
1797880833,1896641412,0.001464,40.373570,49.840107,40.373268,49.838675
1896641412,276375040,0.000406,40.373268,49.838675,40.373184,49.838277
276375040,277360176,0.000498,40.373184,49.838277,40.373077,49.837790
277360176,277365125,0.000656,40.373077,49.837790,40.372963,49.837144
277365125,277360332,0.001565,40.372963,49.837144,40.372637,49.835613
277360332,277360333,0.000552,40.372637,49.835613,40.372517,49.835074
277360333,277360334,0.000629,40.372517,49.835074,40.372398,49.834457
277360334,5910331297,0.000974,40.372398,49.834457,40.372207,49.833502
5910331297,277359774,0.000133,40.372207,49.833502,40.372181,49.833372
277359952,277359978,0.000611,40.374795,49.844570,40.375364,49.844349
277360176,3880224038,0.000293,40.373077,49.837790,40.372784,49.837776
3880224038,4954616497,0.000447,40.372784,49.837776,40.372339,49.837729
4954616497,2295495527,0.000087,40.372339,49.837729,40.372253,49.837722
1311517878,1657131132,0.000262,40.370772,49.829627,40.370837,49.829881
1657131132,277360234,0.001116,40.370837,49.829881,40.371105,49.830964
277360234,277360285,0.001318,40.371105,49.830964,40.371404,49.832247
277360285,3837814974,0.001027,40.371404,49.832247,40.371641,49.833247
3837814974,5910326784,0.000238,40.371641,49.833247,40.371696,49.833478
5910326784,277360286,0.000105,40.371696,49.833478,40.371720,49.833580
277360286,5910326771,0.000073,40.371720,49.833580,40.371738,49.833651
5910326771,5910331296,0.000069,40.371738,49.833651,40.371754,49.833718
5910331296,277360287,0.000922,40.371754,49.833718,40.371974,49.834613
276371997,276371756,0.001778,40.375013,49.843258,40.374583,49.841533
276371756,482983953,0.001776,40.374583,49.841533,40.374172,49.839805
482983953,339114146,0.001630,40.374172,49.839805,40.373762,49.838228
277360442,277360522,0.001258,40.371916,49.830803,40.372200,49.832029
277360522,3259170909,0.000893,40.372200,49.832029,40.372420,49.832894
3259170909,4461042284,0.000047,40.372420,49.832894,40.372432,49.832939
277360672,482983952,0.001790,40.374991,49.841375,40.374567,49.839635
482983952,1889750147,0.001539,40.374567,49.839635,40.374216,49.838136
277360711,277360672,0.001758,40.375404,49.843083,40.374991,49.841375
277361992,277359643,0.001613,40.375996,49.842879,40.375682,49.841297
339114149,6620898335,0.000994,40.376676,49.844196,40.376867,49.845171
6620898335,4495098492,0.000060,40.376867,49.845171,40.376879,49.845230
4495098492,6562460304,0.000120,40.376879,49.845230,40.376902,49.845348
6562460304,4495098495,0.000152,40.376902,49.845348,40.376944,49.845494
4495098495,4495098496,0.000054,40.376944,49.845494,40.376959,49.845546
4495098496,1490151975,0.000900,40.376959,49.845546,40.377208,49.846411
1490151975,4495113750,0.001741,40.377208,49.846411,40.377742,49.848069
4495113750,4495113754,0.000039,40.377742,49.848069,40.377754,49.848106
4495113754,276374007,0.000066,40.377754,49.848106,40.377774,49.848169
276374007,4495113751,0.000186,40.377774,49.848169,40.377830,49.848346
4495113751,4495113756,0.000082,40.377830,49.848346,40.377854,49.848424
